Airport Code(Deprt.),Tail Number,Departure Date
TPA,522,12/23/2017
LAS,522,12/24/2017
TPA,522,12/25/2017
LAX,522,12/26/2017
PHL,522,12/27/2017
ACY,522,12/28/2017
FLL,522,12/29/2017
PIT,522,12/30/2017
LAX,522,12/31/2017
SAN,523,12/1/2017
PHL,523,12/2/2017
BWI,523,12/3/2017
CAK,523,12/4/2017
MCO,523,12/5/2017
MCO,523,12/6/2017
FLL,523,12/7/2017
MSY,523,12/8/2017
BOS,523,12/9/2017
BWI,523,12/10/2017
BWI,523,12/11/2017
BWI,523,12/13/2017
BWI,523,12/14/2017
EWR,523,12/15/2017
MCO,523,12/16/2017
MCO,523,12/17/2017
MCO,523,12/18/2017
PHL,523,12/19/2017
FLL,523,12/20/2017
ORD,523,12/21/2017
DTW,523,12/22/2017
MCO,523,12/23/2017
MCO,523,12/24/2017
MCO,523,12/25/2017
MSY,523,12/26/2017
PIT,523,12/27/2017
LAX,523,12/28/2017
BWI,523,12/29/2017
BWI,523,12/30/2017
EWR,523,12/31/2017
FLL,524,12/1/2017
FLL,524,12/2/2017
MSY,524,12/3/2017
LAS,524,12/4/2017
TPA,524,12/5/2017
PIT,524,12/6/2017
BOS,524,12/7/2017
LAX,524,12/8/2017
BWI,524,12/9/2017
BWI,524,12/10/2017
EWR,524,12/11/2017
CAK,524,12/12/2017
MCO,524,12/13/2017
MSY,524,12/14/2017
LAS,524,12/15/2017
BWI,524,12/16/2017
IAH,524,12/17/2017
LAS,524,12/18/2017
ORD,524,12/19/2017
DFW,524,12/21/2017
FLL,524,12/22/2017
MCO,524,12/23/2017
FLL,524,12/24/2017
MCO,524,12/25/2017
MCO,524,12/26/2017
MCO,524,12/27/2017
MCO,524,12/28/2017
ORD,524,12/29/2017
PHL,524,12/30/2017
MCO,524,12/31/2017
MCO,525,12/1/2017
PHL,525,12/2/2017
PHX,525,12/3/2017
LAX,525,12/4/2017
BWI,525,12/5/2017
LAS,525,12/6/2017
ORD,525,12/7/2017
ROW,525,12/17/2017
DFW,525,12/18/2017
DFW,525,12/19/2017
DTW,525,12/20/2017
TPA,525,12/21/2017
LAS,525,12/22/2017
BWI,525,12/23/2017
BWI,525,12/24/2017
EWR,525,12/25/2017
CAK,525,12/26/2017
MCO,525,12/27/2017
ORD,525,12/28/2017
DFW,525,12/29/2017
DTW,525,12/30/2017
MCO,525,12/31/2017
ORD,526,12/1/2017
ORD,526,12/2/2017
ORD,526,12/3/2017
DFW,526,12/4/2017
DTW,526,12/5/2017
MSY,526,12/6/2017
LAS,526,12/7/2017
ORD,526,12/8/2017
BWI,526,12/9/2017
PBI,526,12/10/2017
BWI,526,12/11/2017
BWI,526,12/12/2017
BOS,526,12/13/2017
BWI,526,12/14/2017
BWI,526,12/15/2017
EWR,526,12/16/2017
CAK,526,12/17/2017
MCO,526,12/18/2017
MCO,526,12/19/2017
PHL,526,12/20/2017
BOS,526,12/21/2017
SAN,526,12/22/2017
PHL,526,12/23/2017
IAG,526,12/24/2017
DTW,526,12/25/2017
SAN,526,12/26/2017
